4.71; 4.4; 5.79; 11.85; 49.28; 49.77; 16.2; 11.78; 8.09; 7.5; 8.63; 4.18;
3.0; 4.38; 5.68; 9.07; 44.46; 50.28; 18.21; 10.5; 7.59; 7.87; 9.2; 4.31; 
4.02; 5.99; 5.36; 13.48; 51.16; 42.77; 27.05; 11.38; 8.16; 7.53; 7.52; 6.24; 
3.24; 5.85; 6.64; 7.8; 39.1; 66.36; 54.37; 15.4; 10.63; 10.45; 8.68; 4.34;
 7.79;7.4; 8.46; 10.73; 45.0; 73.09; 39.64; 20.46; 13.22; 12.8; 17.13; 7.2;
10.77; 10.04; 9.4; 17.08; 55.18; 56.76; 19.47; 13.85; 14.02; 14.41; 13.14; 4.71;
6.56; 7.39; 10.23; 12.44; 44.73; 64.8; 30.0; 16.77; 14.0; 12.72; 10.52; 3.59;
7.15; 6.68; 6.62; 10.6; 36.69; 45.36; 33.21; 16.55; 11.53; 11.84; 12.08; 4.26;
9.43; 8.95; 10.98; 15.58; 47.94; 71.28; 35.62; 13.18; 11.25; 13.18; 13.5; 5.87;
8.89; 8.01; 8.7; 30.84; 75.0; 74.91; 36.69; 15.99; 13.27; 12.35; 13.09; 9.45;
-0.0; -0.0; -0.0; -0.0; 59.46; 63.76; 25.77; 15.48; 13.35; 11.68; 15.16; -0.0;
9.03; 9.99; 10.12; 13.4; 44.19; 56.76; 23.41; 13.18; 11.64; 10.45; 11.22; 4.58;
6.54; 7.57; 7.95; 14.0; 48.75; 37.58; 16.74; 19.31; 18.07; 21.8; 17.29; 7.82;
7.18; 10.06; 12.08; 28.51; 61.07; 38.88; 18.59; 11.22; 9.07; 8.65; 7.93; 4.45;
8.81; 7.62; 8.22; 8.42; 32.14; 50.28; 29.73; 15.0; 11.3; 16.18; 20.17; 9.67;
7.9; 11.18; 11.76; 18.4; 57.85; 52.62; 18.45; 12.19; 11.04; 21.24; 22.78; 6.29;
10.26; 12.19; 12.64; 15.03; 46.07; 39.4; 16.77; 12.0; 10.26; 12.37; 17.47; 10.55;
9.19; 8.35; 12.35; 22.86; 54.37; 70.24; 39.37; 17.22; 11.79; 11.78; 10.68; 4.42;
8.22; 8.12; 8.44; 10.24; 45.26; 47.95; 14.46; 11.97; 14.07; 15.56; 16.9; 8.97;
10.53; 14.22; 14.78; 20.66; 54.37; 60.13; 20.28; 17.03; 12.42; 13.15; -0.0; -0.0;
12.03; 15.65; 25.9; 27.22; 42.59; 59.36; 27.86; 16.82; 14.7; 13.2; 11.61; 8.25;
9.13; 15.1; 20.97; 23.9; 39.91; 34.73; 14.68; 12.53; 10.32; 10.61; 11.12; 9.59;
16.82; 14.96; 16.07; 19.41; 37.5; 32.92; 12.75; 12.03; 11.12; 11.22; 10.89; 10.47;
10.02; 10.35; 13.5; 23.48; 53.3; 37.58; 16.77; 13.39; 12.18; 11.92; 13.06; 13.98;
11.38; 14.37; 16.98; 19.62; 52.5; 19.67; 15.37; 17.89; 16.9; 17.44; 16.2; 15.8;
16.18; 17.15; 21.11; 21.36; 51.16; 42.25; 17.62; 15.62; 14.39; 14.97; 13.56; 14.87;
14.65; 16.84; 16.71; 15.6; 36.16; 23.82; 16.87; 15.27; 14.46; 14.84; 14.13; 14.38;
